Subscription Type,Monthly Revenue,Join Date,Country,Age,Gender,Device
Basic,10,2022 Jan 15,United States,28,Male,Smartphone
Premium,15,2021 Sep 05,Canada,35,Female,Tablet
Standard,12,2023 Feb 28,United Kingdom,42,Male,Smart TV
Standard,12,2022 Jul 10,Australia,51,Female,Laptop
Basic,10,2023 May 01,Germany,33,Male,Smartphone
Premium,15,2022 Mar 18,France,29,Female,Smart TV
Standard,12,2021 Dec 09,Brazil,46,Male,Tablet
Basic,10,2023 Apr 02,Mexico,39,Female,Laptop
Standard,12,2022 Oct 20,Spain,37,Male,Smartphone
Premium,15,2023 Jan 07,Italy,44,Female,Smart TV
Basic,10,2022 May 16,United States,31,Female,Smartphone
Premium,15,2023 Mar 23,Canada,45,Male,Tablet
Standard,12,2021 Nov 30,United Kingdom,48,Female,Laptop
Basic,10,2022 Aug 01,Australia,27,Male,Smartphone
Standard,12,2023 May 09,Germany,38,Female,Smart TV
Premium,15,2022 Apr 07,France,36,Male,Tablet
Basic,10,2022 Jan 24,Brazil,30,Female,Laptop
Standard,12,2021 Oct 18,Mexico,43,Male,Smartphone
Premium,15,2023 Feb 15,Spain,32,Female,Smart TV
Basic,10,2023 May 27,Italy,41,Male,Tablet
Premium,15,2023 Jun 10,United States,26,Female,Laptop
Basic,10,2022 Jul 22,Canada,34,Male,Smartphone
Standard,12,2021 Dec 05,United Kingdom,49,Female,Smart TV
Standard,12,2022 Apr 03,Australia,31,Male,Tablet
Basic,10,2023 Mar 14,Germany,40,Female,Laptop
Premium,15,2022 Jan 12,France,29,Male,Smartphone
Basic,10,2022 Aug 29,Brazil,47,Female,Smart TV
Standard,12,2021 Sep 27,Mexico,33,Male,Tablet
Premium,15,2022 Dec 19,Spain,36,Female,Laptop
Basic,10,2023 May 17,Italy,42,Male,Smartphone
Premium,15,2023 Feb 03,United States,28,Female,Smart TV
Basic,10,2022 Jul 07,Canada,37,Male,Tablet
Standard,12,2022 Jan 21,United Kingdom,41,Female,Laptop
Standard,12,2022 May 25,Australia,29,Male,Smartphone
Basic,10,2023 Apr 11,Germany,39,Female,Smart TV
Premium,15,2022 Mar 01,France,35,Male,Tablet
Basic,10,2022 Sep 14,Brazil,45,Female,Laptop
Standard,12,2021 Nov 05,Mexico,32,Male,Smartphone
Premium,15,2022 Dec 28,Spain,27,Female,Smart TV
Basic,10,2023 Mar 07,Italy,48,Male,Tablet
Premium,15,2023 Jan 20,United States,31,Female,Laptop
Basic,10,2022 Jun 15,Canada,40,Male,Smartphone
Standard,12,2022 Feb 07,United Kingdom,36,Female,Smart TV
Standard,12,2022 Apr 26,Australia,29,Male,Tablet
Basic,10,2023 Jan 28,Germany,43,Female,Laptop
Premium,15,2022 Feb 23,France,34,Male,Smartphone
Basic,10,2022 Oct 05,Brazil,39,Female,Smart TV
Standard,12,2021 Sep 15,Mexico,32,Male,Tablet
Premium,15,2022 Nov 10,Spain,28,Female,Laptop
Basic,10,2023 Jun 02,Italy,45,Male,Smartphone
Premium,15,2023 Feb 27,United States,30,Female,Smart TV
Basic,10,2022 Aug 29,Canada,37,Male,Tablet
Standard,12,2022 Jan 13,United Kingdom,41,Female,Laptop
Standard,12,2022 Jun 30,Australia,29,Male,Smartphone
Basic,10,2023 Apr 20,Germany,39,Female,Smart TV
Premium,15,2022 Mar 15,France,36,Male,Tablet
Basic,10,2022 Oct 01,Brazil,46,Female,Laptop
Standard,12,2021 Oct 08,Mexico,34,Male,Smartphone
Premium,15,2022 Dec 03,Spain,27,Female,Smart TV
Basic,10,2023 Jun 14,Italy,42,Male,Tablet
Premium,15,2023 Feb 08,United States,28,Female,Laptop
Basic,10,2022 Aug 03,Canada,37,Male,Smartphone
Standard,12,2022 Feb 23,United Kingdom,41,Female,Smart TV
Standard,12,2022 Jun 20,Australia,29,Male,Tablet
Basic,10,2023 Mar 29,Germany,40,Female,Laptop
Premium,15,2022 Jan 30,France,29,Male,Smartphone
Basic,10,2022 Sep 18,Brazil,47,Female,Smart TV
Standard,12,2021 Nov 09,Mexico,33,Male,Tablet
Premium,15,2022 Dec 23,Spain,36,Female,Laptop
Basic,10,2023 May 08,Italy,41,Male,Smartphone
Basic,10,2022 Jan 26,United States,27,Male,Smartphone
Basic,10,2022 Oct 11,Canada,31,Female,Smartphone
Standard,12,2022 Sep 27,United Kingdom,28,Female,Laptop
Premium,13,2022 Dec 14,Australia,41,Female,Smartphone
Basic,13,2022 May 28,Germany,28,Female,Laptop
Basic,13,2021 Dec 29,France,51,Female,Laptop
Premium,15,2022 Dec 25,Brazil,45,Female,Smartphone
Standard,15,2022 Nov 18,Mexico,49,Male,Tablet
Standard,15,2022 Dec 03,Spain,43,Female,Laptop
Basic,12,2022 Nov 08,Italy,43,Male,Tablet
Premium,10,2023 Jan 11,United States,37,Male,Tablet
Standard,12,2022 Dec 07,Canada,35,Male,Laptop
Basic,10,2022 Oct 20,United Kingdom,46,Female,Smartphone
Standard,12,2023 Apr 13,Australia,32,Male,Smartphone
Premium,10,2023 Apr 06,Germany,37,Female,Laptop
Basic,11,2022 Mar 04,France,29,Female,Smartphone
Premium,15,2021 Dec 28,Brazil,45,Male,Smart TV
Standard,12,2022 Sep 27,Mexico,47,Male,Tablet
Basic,15,2022 Oct 20,Spain,39,Male,Smartphone
